HS코드,기간,수출중량,수출금액,수입중량,수입금액,무역수지
8479502000,2022.06,                   0.9,                  67,                   0.0,                   0,                  67
8479509000,2022.06,                 211.7,"               8,763",                 701.6,"              15,922","              -7,160"
8479892010,2022.06,                 544.1,"              18,304",                 165.7,"              13,010","               5,295"
8479892090,2022.06,                  13.6,"               1,026",                   7.1,                 156,                 871
8508111000,2022.06,                  11.7,                 793,                 353.7,"              11,963","             -11,170"
8508192000,2022.06,                   0.0,                   1,                   1.0,                  47,                 -46
8515211010,2022.06,                   8.7,                 633,                  79.0,"               1,196",                -563
8515219010,2022.06,                   0.0,                   1,                   1.4,                  74,                 -73
8515311010,2022.06,                   0.0,                   0,                  18.8,                 875,                -875
8515319010,2022.06,                   0.0,                   0,                   0.9,                  54,                 -54
8424202010,2022.07,                   1.9,                  10,                   3.1,                 158,                -148
8427103000,2022.07,                  40.1,"               1,891",                  22.9,"               1,768",                 123
8428701000,2022.07,                   0.0,                   0,                   5.0,                 160,                -160
8428702000,2022.07,                   8.2,                 231,                  58.8,"               1,852","              -1,621"
8428709000,2022.07,                   1.1,                  82,                   9.5,                 495,                -413
8479501000,2022.07,                   2.5,                 468,                   5.1,"               1,066",                -598
8479502000,2022.07,                   0.2,                  19,                   0.0,                   0,                  19
8479509000,2022.07,                 170.0,"               6,861",                 601.0,"              17,015","             -10,154"
8479892010,2022.07,                 292.2,"               9,985",                 149.4,"               5,175","               4,810"
8479892090,2022.07,                   4.5,                  75,                   0.5,                  37,                  37
8508111000,2022.07,                   4.9,                 297,                 383.6,"              13,194","             -12,896"
8508192000,2022.07,                   0.0,                   0,                   6.6,                 105,                -105
8515211010,2022.07,                   7.6,                 462,                  73.2,                 831,                -369
8515219010,2022.07,                   0.2,                  22,                   2.0,                 745,                -723
8515311010,2022.07,                   3.6,                  93,                  16.2,"               1,055",                -963
8515319010,2022.07,                   0.7,                   5,                   3.3,                 128,                -123
8424202010,2022.08,                   0.9,                 178,                   2.0,                  82,                  95
8427103000,2022.08,                   2.0,                  38,                   1.8,                 117,                 -79
8428701000,2022.08,                   0.8,                  41,                  12.8,                 223,                -183
8428702000,2022.08,                   2.0,                 213,                  24.1,"               1,072",                -859
8428709000,2022.08,                   1.6,                  93,                  17.7,"               1,034",                -941
8479501000,2022.08,                  47.2,                 473,                   5.1,                 952,                -479
8479502000,2022.08,                   0.5,                  28,                   0.0,                   0,                  28
8479509000,2022.08,                 257.2,"               7,495",                 298.8,"              11,118","              -3,623"
8479892010,2022.08,                 242.2,"               7,023",                  66.1,"               3,861","               3,163"
8479892090,2022.08,                   2.8,                 217,                  54.5,                 443,                -226
8508111000,2022.08,                  24.4,"               1,508",                 339.6,"              14,168","             -12,660"
8508192000,2022.08,                   0.0,                   0,                   0.5,                  13,                 -12
8515211010,2022.08,                  60.1,"               2,054",                  26.8,                 552,"               1,502"
8515219010,2022.08,                  40.9,"               1,726",                   0.1,                  10,"               1,716"
8515311010,2022.08,                   0.0,                   0,                   6.3,                 270,                -270
8515319010,2022.08,                   1.1,                  20,                   0.8,                  34,                 -14
8424202010,2022.09,                   0.0,                   0,                   5.4,                 270,                -270
8427103000,2022.09,                   2.9,                 147,                   0.0,                   0,                 147
8428701000,2022.09,                   0.0,                   0,                  25.0,                 408,                -408
8428702000,2022.09,                  68.6,"               3,671",                  10.7,                 357,"               3,314"
8428709000,2022.09,                   0.2,                  82,                  45.4,"               1,649","              -1,567"
8479501000,2022.09,                  71.9,                 946,                   5.4,                 646,                 300
8479502000,2022.09,                   0.2,                  14,                   0.0,                   0,                  14
8479509000,2022.09,                 267.0,"              11,863",                 319.0,"              10,684","               1,179"
8479892010,2022.09,                 177.0,"               6,214",                 127.5,"               5,364",                 850
8479892090,2022.09,                  32.1,                 637,                   4.4,                  57,                 579
8508111000,2022.09,                   9.3,                 546,                 313.2,"              12,842","             -12,296"
8508192000,2022.09,                   0.0,                   0,                  15.0,                 178,                -178
8515211010,2022.09,                  62.0,"               1,812",                  62.0,"               1,263",                 549
8515212010,2022.09,                   0.0,                   4,                   2.0,                   6,                  -2
8515219010,2022.09,                   0.0,                   0,                   2.1,                 103,                -103
8515311010,2022.09,                   9.0,                  93,                  13.9,                 509,                -416
8515319010,2022.09,                   1.7,                 170,                   5.4,                 178,                  -8
8424202010,2022.10,                  10.4,"               1,441",                   0.0,                   0,"               1,441"
8427103000,2022.10,                  18.9,"               1,436",                   2.5,                 166,"               1,270"
8428701000,2022.10,                   0.0,                   0,                   4.6,                  91,                 -91
8428702000,2022.10,                   0.0,                   0,                   2.0,                 220,                -220
8428709000,2022.10,                   8.1,                 289,                  18.2,                 684,                -395
8479501000,2022.10,                  13.3,                 255,                  29.3,"               1,204",                -949
8479502000,2022.10,                   0.0,                   0,                   0.1,                   1,                  -1
8479509000,2022.10,                 317.3,"              11,524",                 373.9,"              12,510",                -986
8479892010,2022.10,                 306.8,"              10,071",                  76.3,"               3,412","               6,659"
8479892090,2022.10,                  33.7,"               1,250",                   0.3,                 185,"               1,064"
8508111000,2022.10,                   8.7,                 507,                 511.8,"              18,319","             -17,812"
8508192000,2022.10,                   0.9,                  65,                   5.9,                  52,                  12
8515211010,2022.10,                  34.9,"               2,782",                  20.5,                 641,"               2,142"
8515219010,2022.10,                   1.7,                 271,                  44.6,"               2,914","              -2,643"
